project_number,project_link,hpa_number,location,property,description,review_type,submitted_documents,meeting_link,recommendation,previous_review,owner,district_of_columbia,superseded_by,cfa_action,og_19-047,
OG 19-254,/records-research/project-search/og-19-254,HPA 19-515,"2622 P Street, NW
United States",Residence,Rear window and deck alterations,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30347,Returned without action.  Submission materials and a site visit on 20 August 2019 indicate proposed rear window and deck alterations would not be visible from a public thoroughfare.  Refer to Historic Preservation Review Board.,,,,,,,
OG 18-246,/records-research/project-search/og-18-246,HPA 18-455,"3134 Dumbarton Street, NW
United States",Residence,"Skylights, revision to roof material",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30345,Returned without action.  Permit application for skylights and revision to roof material has been inactive for an extended period of time.  File new submission at DCRA with detailed and dimensioned drawings.,,,,,,,
OG 19-020,/records-research/project-search/og-19-020,HPA 19-037,"3134 Dumbarton Street, NW
United States",Residence,Rear second-floor addition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30345,Returned without action.  Concept application for rear addition has been inactive for an extended period of time.  File new submission at DCRA with detailed and dimensioned drawings.,,,,,,,
OG 19-062,/records-research/project-search/og-19-062,HPA 19-127,"2801 M Street, NW
United States",Commercial,Window replacement at second floor,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30345,"Returned without action.  Window replacement was recommended for concept approval as part of scope of work for OG 19-029, HPA 19-073.  Applicant must file permit submission for all work, with detailed and dimensioned drawings, for review by the Commission.",,,,,,,
OG 19-077,/records-research/project-search/og-19-077,HPA 19-175,"3330 Prospect Street, NW
United States",Multi-family residence,Window replacement on front and side elevations,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30345,Returned without action. Permit application for window replacement has been inactive for an extended period of time. File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.,,,,,,,
OG 19-204,/records-research/project-search/og-19-204,HPA 19-396,"1205 28th Street, NW
United States",Residence,Stair replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30345,"Returned without action.  Scope of work previously recommended for approval under OG 19-134, HPA 19-274.  See stamped drawings from that application for correct work and recommendation.",,,,,,,
OG 19-214,/records-research/project-search/og-19-214,HPA 19-417,"1038 31st Street, NW
United States",Commercial,Alterations,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30345,Returned without action. Application received 14 June 2019 was withdrawn by the applicant.,,,,,,,
OG 19-232,/records-research/project-search/og-19-232,HPA 19-435,"1414 30th Street, NW
United States",Residence,Roof deck,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30345,Returned without action. Permit submission received 21 June 2019 for rooftop deck are not visible from a public thoroughfare. Refer to Historic Preservation Review Board.,,,,,,,
OG 19-168,/records-research/project-search/og-19-168,HPA 19-342,"3044 N Street, NW
United States",Residence,Site work at rear,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30343,Returned without action.  Submission materials received 23 May 2019 and a site visit on 20 May 2019 indicate proposed site work at the rear yard would not be visible from a public thoroughfare.  Refer to Historic Preservation Review Board.,,,,,,,
OG 19-193,/records-research/project-search/og-19-193,HPA 19-369,"3138 P Street, NW
United States",Residence,Two-story addition on east elevation and interior remodel,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30343,Returned without action. Concept application for demolition and addition on east elevation is not visible from a public thoroughfare. Refer to Historic Preservation Review Board.,,,,,,,
OG 18-276,/records-research/project-search/og-18-276-0,HPA 18-503,"1735 34th Street, NW
United States",Residence,Door replacement,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30341,Returned without action. Concept application for fenestration alterations has been inactive for an extended period of time. File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.,,,,,,,
OG 19-112,/records-research/project-search/og-19-112-0,HPA 19-240,"3274 P Street, NW
United States",Residence,Revisions to previously approved permit,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30341,"Returned without action. Permit submission received 24 April 2019 for basement addition, interior work, and changes to rear areaway are not visible from a public thoroughfare. Refer to Historic Preservation Review Board. ",,,,,,,
OG 19-116,/records-research/project-search/og-19-116-0,HPA 19-244,"3120 N Street, NW
United States",Residence,New one story rear addition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30341,"Returned without action. Per submission received 16 April 2019, proposed first floor rear addition is not visible from a public thoroughfare. Refer to Historic Preservation Review Board.",,,,,,,
OG 18-289,/records-research/project-search/og-18-289-0,HPA 18-548,"3251 Prospect Street, NW
United States",Mixed-use,Addition at rear courtyard - Bale & Cube,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30339,Returned without action.  Concept application for addition has been inactive for an extended period of time.  File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.,,,,,,,
OG 18-291,/records-research/project-search/og-18-291,HPA 18-550,"3251 Prospect Street, NW
United States",Mixed-use,Rear addition - Peacock Cafe,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30339,Returned without action.  Concept application for addition has been inactive for an extended period of time.  File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.,,,,,,,
OG 18-312,/records-research/project-search/og-18-312-0,HPA 18-577,"1414 34th Street, NW
United States",Residence,"Rear addition, window and door replacement, new stucco at rear",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30339,Returned without action. Concept application for addition has been inactive for an extended period of time.  File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.,,,,,,,
OG 18-327,/records-research/project-search/og-18-327,HPA 18-592,"1235 Potomac Street, NW
United States",Residence,Demolition of rear sunroom and roof deck,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30339,Returned without action. Permit application for demolition of sunroom and roof deck has been inactive for an extended period of time.  File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.,,,,,,,
OG 19-105,/records-research/project-search/og-19-105,HPA 19-226,"1525 29th Street, NW
United States",Residence,One-story rear addition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30339,Application withdrawn by applicant. File new concept submission at DCRA with detailed and dimensioned drawings for review by the Commission.,,,,,,,
OG 18-075,/records-research/project-search/og-18-075-4,HPA 18-127,"3024 Q Street, NW
United States",Residence,Installation of rear covered porch,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30337,Returned without Action.  Concept application for rear covered porch has been inactive for an extended period of time.  File new submission at DCRA with detailed and dimensioned drawings.,,,,,,,
OG 18-232,/records-research/project-search/og-18-232-0,HPA 18-417,"1061 31st Street, NW
United States",Commercial,New canopies,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/30337,Returned without Action.  Concept application for canopies has been inactive for an extended period of time.  File new submission at DCRA with detailed and dimensioned drawings.,,,,,,,
